Date,Open,High,Low,Close,Volume,Adj Close
2016-11-01,22.42,22.559998999999998,21.77,22.08,7379200,22.021444
2016-11-02,22.040001,22.17,21.870001000000002,22.02,8308300,21.961604
2016-11-03,22.07,22.18,21.76,21.799999,6998700,21.742186
2016-11-04,21.639999,22.399,21.52,22.040001,7716100,21.981551
2016-11-07,22.379998999999998,23.190001000000002,22.370001000000002,23.110001,10804700,23.048713
2016-11-08,23.110001,23.49,22.889999,23.24,12794700,23.178368
2016-11-09,22.440001000000002,23.549999,22.360001,23.23,15356500,23.168394
2016-11-10,23.35,23.690001000000002,22.91,23.07,13043300,23.008817999999998
2016-11-11,23.02,23.379998999999998,22.92,23.309998999999998,9448800,23.248182
2016-11-14,23.35,23.620001000000002,23.07,23.35,12373600,23.288076
2016-11-15,23.469998999999998,23.530001000000002,23.139999,23.41,14775400,23.347917000000002
2016-11-16,23.309998999999998,23.65,23.209999,23.530001000000002,11549000,23.467599
2016-11-17,23.469998999999998,23.67,23.26,23.6,10900500,23.537413
2016-11-18,23.688999,23.85,23.27,23.309998999999998,16593200,23.248182
2016-11-21,23.42,23.549999,22.809998999999998,23.120001000000002,23305400,23.058687
2016-11-22,23.1,23.34,22.605,22.870001000000002,24166700,22.80935
2016-11-23,22.700001,23.629998999999998,22.469998999999998,23.549999,21561500,23.487545
2016-11-25,23.02,23.389999,22.709999,23.219998999999998,10647800,23.15842
2016-11-28,22.969998999999998,23.389999,22.879998999999998,23.34,21856000,23.278103
2016-11-29,23.219998999999998,23.9,23.219998999999998,23.74,14084500,23.677042
2016-11-30,23.790001,23.895,23.629998999999998,23.799999,14473300,23.736882
2016-12-01,23.780001000000002,23.9,23.33,23.370001000000002,12190500,23.308024
2016-12-02,23.360001,23.9,23.34,23.85,7340200,23.78675
2016-12-05,23.92,24.219998999999998,23.83,24.209999,10272200,24.145794
2016-12-06,24.16,24.18,23.889999,23.959999,9846400,23.896457
2016-12-07,23.84,24.790001,23.809998999999998,24.68,16290600,24.614549
2016-12-08,24.65,24.790001,24.51,24.639999,7100200,24.574654000000002
2016-12-09,24.559998999999998,24.77,24.32,24.51,13314100,24.445
2016-12-12,24.09,24.219998999999998,23.700001,23.9,12350600,23.9
2016-12-13,23.84,24.219998999999998,23.75,23.93,10863100,23.93
2016-12-14,23.74,24.379998999999998,23.73,23.92,9834200,23.92
2016-12-15,23.85,23.870001000000002,23.67,23.73,16103100,23.73
2016-12-16,23.629998999999998,23.785,23.379998999999998,23.49,20624200,23.49
2016-12-19,23.42,23.9,23.42,23.73,6762000,23.73
